2021-09-05 20:59:24.5092|Microsoft.AspNetCore.Hosting.Diagnostics|FATAL|1:|Application startup exception Endpoint Routing does not support 'IApplicationBuilder.UseMvc(...)'. To use 'IApplicationBuilder.UseMvc' set 'MvcOptions.EnableEndpointRouting = false' inside 'ConfigureServices(...).
2021-09-05 21:01:14.7604|Microsoft.EntityFrameworkCore.Model.Validation|WARN|1:|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. 
2021-09-05 21:01:15.5420|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: https://localhost:5001 
2021-09-05 21:01:15.5420|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: http://localhost:5000 
2021-09-05 21:01:15.5420|Microsoft.Hosting.Lifetime|INFO|1:|Application started. Press Ctrl+C to shut down. 
2021-09-05 21:01:15.5420|Microsoft.Hosting.Lifetime|INFO|1:|Hosting environment: Development 
2021-09-05 21:01:15.5420|Microsoft.Hosting.Lifetime|INFO|1:|Content root path: /home/kamil/RiderProjects/AccountService/AccountService 
2021-09-05 21:01:42.9908|Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware|ERROR|18:|An unhandled exception has occurred while executing the request. Conflicting method/path combination "PUT api/account/login/{id}" for actions - AccountService.Services.AccountLoginModule.AccountLoginController.UpdatePhoneNumber (AccountService),AccountService.Services.AccountLoginModule.AccountLoginController.UpdateUser (AccountService). Actions require a unique method/path combination for Swagger/OpenAPI 3.0. Use ConflictingActionsResolver as a workaround
2021-09-05 21:01:53.6286|Microsoft.Hosting.Lifetime|INFO|20:|Application is shutting down... 
2021-09-05 21:03:23.0255|Microsoft.EntityFrameworkCore.Model.Validation|WARN|1:|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. 
2021-09-05 21:03:23.7177|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: https://localhost:5001 
2021-09-05 21:03:23.7191|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: http://localhost:5000 
2021-09-05 21:03:23.7191|Microsoft.Hosting.Lifetime|INFO|1:|Application started. Press Ctrl+C to shut down. 
2021-09-05 21:03:23.7191|Microsoft.Hosting.Lifetime|INFO|1:|Hosting environment: Development 
2021-09-05 21:03:23.7191|Microsoft.Hosting.Lifetime|INFO|1:|Content root path: /home/kamil/RiderProjects/AccountService/AccountService 
2021-09-05 21:03:31.0566|Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware|ERROR|12:|An unhandled exception has occurred while executing the request. Conflicting method/path combination "PUT api/account/login/{id}" for actions - AccountService.Services.AccountLoginModule.AccountLoginController.UpdatePhoneNumber (AccountService),AccountService.Services.AccountLoginModule.AccountLoginController.UpdateUser (AccountService). Actions require a unique method/path combination for Swagger/OpenAPI 3.0. Use ConflictingActionsResolver as a workaround
2021-09-05 21:04:06.7493|Microsoft.Hosting.Lifetime|INFO|17:|Application is shutting down... 
